PK;NOMBRE;NOMBRE-VIA;CLASE-VIAL;NUM;LOCALIDAD;PROVINCIA;COD_POSTAL ;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD
12350;Parque de Bomberos 01. Chamberí;SANTA ENGRACIA;CALLE;118;MADRID;MADRID;28003;RIOS ROSAS;CHAMBERI;440673;4477062;40.44022118;-3.700818844
12349;Parque de Bomberos 02. Salamanca;RUFINO BLANCO;CALLE;2;MADRID;MADRID;28028;FUENTE DEL BERRO;SALAMANCA;443413;4475534;40.42851068;-3.667110359
12347;Parque de Bomberos 03. Centro;SEGOVIA;RONDA;95;MADRID;MADRID;28005;PALACIO;CENTRO;439563;4473173;40.40697986;-3.712282752
12354;Parque de Bomberos 04. Tetuán;EMILIA;CALLE;40;MADRID;MADRID;28029;ALMENARA;TETUAN;440996;4480239;40.47073639;-3.696051733
12353;Parque de Bomberos 05. Usera;SANTA MARIA DE LA CABEZA;PASEO;95;MADRID;MADRID;28026;MOSCARDO;USERA;440012;4471511;40.39203129;-3.706823032
12348;Parque de Bomberos 06. Centro;SAN BERNARDO;CALLE;68;MADRID;MADRID;28015;UNIVERSIDAD;CENTRO;440066;4475362;40.42673583;-3.706549622
12352;Parque de Bomberos 07. San Blas;HELLIN;AVENIDA;52;MADRID;MADRID;28037;AMPOSTA;SAN BLAS-CANILLEJAS;447796;4475482;40.42832884;-3.615437366
12355;Parque de Bomberos 08. Puente de Vallecas;PIO FELIPE;CALLE;24;MADRID;MADRID;28038;NUMANCIA;PUENTE DE VALLECAS;444572;4471763;40.39461732;-3.653130897
12351;Parque de Bomberos 09. Fuencarral - El Pardo;MONFORTE DE LEMOS;AVENIDA;20;MADRID;MADRID;28029;LA PAZ;FUENCARRAL-EL PARDO;440697;4481280;40.48008389;-3.699664083
12357;Parque de Bomberos 10. Villaverde;SAN NORBERTO;CALLE;54;MADRID;MADRID;28021;SAN ANDRES;VILLAVERDE;439950;4465720;40.33986735;-3.707008292
12356;Parque de Bomberos 11. Hortaleza;MESENA;CALLE;146;MADRID;MADRID;28033;APOSTOL SANTIAGO;HORTALEZA;443623;4480593;40.4740989;-3.665083967
12358;Parque de Bomberos 12. Latina;POBLADOS;AVENIDA;48;MADRID;MADRID;28044;LAS AGUILAS;LATINA;435064;4471102;40.38798474;-3.765089476
11551259;Parque de Bomberos 13. Vicálvaro;LAS SANTERAS;CALLE;39;MADRID;MADRID;28052;CASCO H.VICALVARO;VICALVARO;449956;4471346;40.39121099;-3.589642922
